Names
DALYE 1
HAFIT 289
HAMASAH 1
SERZENG 1
GULIRENGI 1
TEKSIN 94
FERAMISIN 1
MESIHE 14
HESENA 2
NURCUN 4
GULIZTAN 2
ISUFOVA 1
PELMA 2
NESERREF 1
NURICELAL 2
MEHIB 1
SIBLO 1
SINIHAZAR 1
ULASFIRAT 1
IHSANE 490
SUTI 108
MENGUHA 1
ZEYICA 1
DECAN 1
CIL 2
AYDEMIRHAN 1
JIVAN 2
IREMECE 1
OZGUNC 4
BEKRA 5
KARTAN 1
GULFUSET 1
BIYAK 1
ZENGISKAN 1
SUNBILE 4
NIMETHAN 1
ASUDA 5
URKAN 9
TEVBIL 1
HACEGAN 1
AYSIS 1
SEMERHAN 1
ADEVIYYE 9
MAHEBBET 1
NURHANIM 211
VJOLCE 1
SAHINNUR 1
DINAZ 1
EMAMETTIN 1
HULAGU 1
NISAYIM 1
ILKUTLU 1
MAHMUTCELAL 1
ADNEN 1
DONEHAN 1
HASFER 1
HAZBA 1
CAYIR 2
MUFAIR 1
ELEETTIN 1
HAFISA 21
NEFEL 56
GULELMAST 2
GOLEZER 1
FUDAYL 20
RUHINEZ 1
SUFULE 5
ALVEN 2
BUTEKIN 1
NIDAHI 4
HAPILE 1
PEYDAR 1
EBUHUYRRA 1
ELSIDIKA 1
KURSUYE 2
AYLUS 2
HERKUL 1
ZEVCEDDIN 1
ZULKARNIN 13
GEVRI 1258
TURIST 4
CIBA 4
UMUGULLU 1
KUDUS 1
KUDDUSU 117
ULSEL 1
SUMERYEM 1
BILIM 16
SEVIGUL 5
APIT 4
ICDAL 1
RAIME 309
KIAMALIA 1
UMMUSERIF 17
SACIVER 1
ABDURBARI 1
RAVSI 25
SEMRULLAH 3
HASIF 5
TURKET 4
NERATIN 1
ELENDER 2
SEMREN 13
SELMIN 3
MEYHARET 2
CASIYET 2
YEZGUL 1
EMSIYE 10
ISTESIR 1
YENI 8
HINNE 3
HALILHAN 6
KIBRIHAN 1
ACIHAN 2
YURDAARSLAN 1
MUTEHIYE 1
SEZARIN 4
VITORE 1
KORPEGUL 1
GULTENUR 1
TUKAS 7
LIDAN 1
UMUIDE 1
ZINNIYET 1
AHNEZ 1
ERDEBIL 1
HACAHIT 1
GURSEVIN 1
CEVATIN 2
TAKOHI 4
NIKANE 1
KADIRGIN 1
RAHMEN 4
SAHANDEN 1
EBIL 1
KASPER 1
DURYAN 1
FETHIK 1
ZUTIYE 4
SEKIYBE 1
NIHI 1
SELAHETIN 4
BEDOC 1
BEYARSLAN 1
OZAND 2
FEHMIL 1
RUSTEMER 1
NINAL 1
NESHIBA 2
NORAYIR 8
SUFUYAN 4
AYTAM 2
AKSIT 15
HASANDENIZ 1
MEDINEAY 1
MIBECEL 2
KAYBULLAH 2
MEHMETSAIT 65
IZAT 1
GUNERI 56
SUKERETTIN 1
NUHTU 1
